WELL,X(ft),Y(ft),Completion,Elevation Kelly Bushing (ft),Aggregate Production
WP0,137106.82,83818.47,Upper,193.32,475.6950798
WP1,132460.98,85832.77,Upper,187.15,1005.566662
WP2,133634,82144.52,Upper,164.55,1576.345443
WP3,140892.57,81747.12,Lower,179.92,0
WP4,109951.43,89343.45,Lower,186.21,57.82297746
WP5,123950.95,92227.31,Lower,172.8,1787.40668
WP6,111035.32,88692.32,Lower,182.66,17534.95288
WP7,112439.69,85560.85,Lower,181.09,45903.08967
WP8,127369.74,91739.99,Upper,180.04,53733.52375
WP9,115943.69,86730.44,Lower,178.25,17780.45148
WP10,134042.86,82411.27,Upper,184.33,27653.20529
WP11,115725.49,86866.6,Upper,192.03,354.1048749
WP12,133136.98,93691.55,Lower,170.35,443.2288984
WP13,119311.27,89234.02,Upper,190.28,870.011682
WP14,134837.26,83865.82,Lower,182.29,60.0190337
WP15,109560.26,86833.62,Lower,184.45,342.1474226
WP16,112898.58,91601.46,Lower,168.63,497.7255726
WP17,112766.46,88549.74,Lower,181.35,4880.211255
WP18,117798.78,90645.7,Upper,194.85,18598.3405
WP19,110189.22,86209.71,Upper,169.2,18012.79003
WP20,133687.47,83554.44,Upper,160.22,471.480349
WP21,121120.49,87804.64,Upper,162.57,9973.879346
WP22,115987.29,91854.91,Upper,182.66,28364.83388
WP23,139326.01,84776.42,Upper,203.85,88345.36843
WP24,142095.82,86042.02,Lower,191.24,56.25626927
WP25,128136.21,89359.95,Lower,196.73,10134.84653
WP26,118170.11,89488.69,Lower,180.99,3236.954768
WP27,129829.39,87756.99,Upper,193.98,9.678521219
WP28,120522.78,89987,Upper,177.29,38372.61977
WP29,138541.42,82281.79,Lower,186.13,22.01824111
WP30,131123.52,84356.27,Upper,177.33,12816.90666
WP31,136285.14,86479.95,Lower,174.51,32097.83568
WP32,128675.17,89882.13,Lower,181.33,48464.15211
WP33,123960.21,85279.28,Lower,175.24,199.3534976
WP34,134053.71,84658.45,Lower,193.08,8484.746653
WP35,122230.81,87539.37,Upper,181.95,99.0362475
WP36,111749.78,91050.01,Lower,184,31704.78532
WP37,134902.25,82632.62,Lower,176.62,61917.44231
WP38,116803.31,91177.75,Lower,192.56,232777.7978
WP39,111890.88,91708.68,Upper,172.68,24014.83749
WP40,126601.3,90679.21,Upper,186.6,7.267656297
WP41,114333.01,91616.66,Lower,176.49,27494.02137
WP42,136532.27,83571.51,Lower,170.61,36459.58867
WP43,115684.27,89895.78,Lower,175.11,29287.59374
WP44,118629.9,88703.87,Lower,171.95,18969.22345
WP45,129176.3,93171.14,Upper,177.87,1056.71888
WP46,139046.81,84476.47,Lower,176.61,30999.56316
WP47,137407.15,84099.13,Lower,183.12,71.10843233
WP48,124094.8,90648.76,Lower,185.65,654.7737166
WP49,123188.65,88556.29,Lower,178.53,263.8033897
